Method,PSNR_dB,PSNR_std,SSIM,SSIM_std,LPIPS,LPIPS_std,N_Samples
Pix2Pix (Ours),26.653213159908343,4.156022859237345,0.745406979169979,0.12330971450346681,0.24831227829347355,0.08579489894029867,1619
Identity,10.58671234828643,1.4554836910460178,0.19624963623758354,0.19777544194019267,0.5899352417491409,0.08576493290235493,1619
Reinhard Color Transfer,16.432885764291857,2.468509383522768,0.3998235509359267,0.14439839490152132,0.5856037501422913,0.08489499728439484,1619
Channel Regression,18.065976324127604,2.0877070133606908,0.42444677165162376,0.13697269760671518,0.5444895036799293,0.08254494485775597,1619
Histogram Matching,16.785941673445144,3.3824183394038254,0.32103217830301556,0.15244494302881437,0.6099069424070201,0.12092508940294656,1619
